id_FallAssessment,id_block_plot_sp_h2o,block,plot,tree,location,sp,h2o,bd_mm,ba_mm2,ba_cm2,ba_m2,ba_m2_m2,ba_m2_ha,ht_cm,status6_live_dead,lbio,agbio,wbio
15QURU,15QURUH,1,5,C3,C,QURU,H,23.05,417.28,4.17,0.0004172849835,0.000104321245875,1.0432,231,alive,96.94,305.44,208.496469461763
15QURU,15QURUH,1,5,C4,C,QURU,H,32.97,853.75,8.54,0.00085374621486,0.000213436553715,2.1344,263,alive,192.36,731.53,539.168690540891
15QURU,15QURUH,1,5,C5,C,QURU,H,18.49,268.51,2.69,0.00026851263054,6.7128157635E-05,0.6713,128,alive,63.57,178.37,114.804049359104
15QURU,15QURUH,1,5,C6,C,QURU,H,35.87,1010.54,10.11,0.00101054032926,0.000252635082315,2.5264,294,alive,226.05,898.60,672.553474517892
15QURU,15QURUH,1,5,D2,C,QURU,H,23.92,449.38,4.49,0.00044937949056,0.00011234487264,1.1234,227,alive,104.07,334.34,230.269920057405
15QURU,15QURUH,1,5,D3,C,QURU,H,23.44,431.53,4.32,0.00043152514944,0.00010788128736,1.0788,226,alive,100.10,318.20,218.096244571081
15QURU,15QURUH,1,5,D4,C,QURU,H,30.02,707.80,7.08,0.00070780279416,0.00017695069854,1.7695,242,alive,160.76,581.97,421.207847593562
15QURU,15QURUH,1,5,D5,C,QURU,H,28.64,644.22,6.44,0.00064422403584,0.00016105600896,1.6106,266,alive,146.91,518.83,371.925185402364
15QURU,15QURUH,1,5,D6,C,QURU,H,24.26,462.25,4.62,0.00046224528504,0.00011556132126,1.1556,203,alive,106.92,346.05,239.134530343162
15QURU,15QURUH,1,5,E2,C,QURU,H,27.51,594.39,5.94,0.00059439079854,0.000148597699635,1.4860,224,alive,136.01,470.29,334.28199148037
15QURU,15QURUH,1,5,E3,C,QURU,H,18.29,262.74,2.63,0.00026273522814,6.5683807035E-05,0.6568,123,alive,62.26,173.70,111.442654460545
15QURU,15QURUH,1,5,E4,C,QURU,H,24.49,471.05,4.71,0.00047105158254,0.000117762895635,1.1776,232,alive,108.87,354.11,245.24567188802
15QURU,15QURUH,1,5,E5,C,QURU,H,32.41,824.99,8.25,0.00082499052174,0.000206247630435,2.0625,219,alive,186.15,701.58,515.426628365537
15QURU,15QURUH,1,5,E6,C,QURU,H,19.99,313.85,3.14,0.00031384591854,7.8461479635E-05,0.7846,192,alive,73.80,215.77,141.961645828029
15QURU,15QURUH,1,5,F2,C,QURU,H,28.04,617.51,6.18,0.00061751415264,0.00015437853816,1.5438,244,alive,141.07,492.71,351.637336097994
15QURU,15QURUH,1,5,F3,C,QURU,H,14.95,175.54,1.76,0.0001755388635,4.3884715875E-05,0.4388,85,alive,42.32,106.20,63.8788090968304
15QURU,15QURUH,1,5,F4,C,QURU,H,25.83,524.01,5.24,0.00052401016206,0.000131002540515,1.3100,220,alive,120.55,403.27,282.712656616786
15QURU,15QURUH,1,5,F5,C,QURU,H,28.92,656.88,6.57,0.00065688217056,0.00016422054264,1.6422,249,alive,149.67,531.30,381.62759046454
15QURU,15QURUH,1,5,F6,C,QURU,H,17.06,228.59,2.29,0.00022858564344,5.714641086E-05,0.5715,174,alive,54.49,146.56,92.0743153100844
18PIST,18PISTH,1,8,B2,C,PIST,H,48.05,1813.33,18.13,0.0018133334835,0.000453333370875,4.5333,255,alive,444.89,932.90,488.002446350024
18PIST,18PISTH,1,8,B3,C,PIST,H,49.48,1922.87,19.23,0.00192287157216,0.00048071789304,4.8072,267,alive,475.88,1004.56,528.672821035532
18PIST,18PISTH,1,8,B4,C,PIST,H,47.03,1737.16,17.37,0.00173716413486,0.000434291033715,4.3429,267,alive,423.51,883.72,460.219676085088
18PIST,18PISTH,1,8,B5,C,PIST,H,37.57,1108.60,11.09,0.00110859594846,0.000277148987115,2.7715,237,alive,252.87,501.40,248.523408131955
18PIST,18PISTH,1,8,B6,C,PIST,H,51.3,2066.93,20.67,0.002066929326,0.0005167323315,5.1673,182,alive,517.04,1100.43,583.394991033782
18PIST,18PISTH,1,8,C2,C,PIST,H,38.41,1158.72,11.59,0.00115872268974,0.000289680672435,2.8968,255,alive,266.04,530.17,264.126796860988
18PIST,18PISTH,1,8,C3,C,PIST,H,47.85,1798.27,17.98,0.0017982695115,0.000449567377875,4.4957,258,alive,440.65,923.13,482.474926105761
18PIST,18PISTH,1,8,C4,C,PIST,H,40.54,1290.80,12.91,0.00129079830264,0.00032269957566,3.2270,203,alive,301.14,607.53,306.385146614505
18PIST,18PISTH,1,8,C5,C,PIST,H,35.88,1011.10,10.11,0.00101110385376,0.00025277596344,2.5278,204,alive,227.51,446.41,218.901794169255
18PIST,18PISTH,1,8,C6,C,PIST,H,59.2,2752.54,27.53,0.002752544256,0.000688136064,6.8814,294,alive,718.38,1579.58,861.20008238309
18PIST,18PISTH,1,8,D2,C,PIST,H,47.83,1796.77,17.97,0.00179676657006,0.000449191642515,4.4919,253,alive,440.23,922.15,481.924326111531
18PIST,18PISTH,1,8,D3,C,PIST,H,36.92,1070.57,10.71,0.00107056805856,0.00026764201464,2.6764,216,alive,242.94,479.79,236.852992749583
18PIST,18PISTH,1,8,D4,C,PIST,H,36.77,1061.89,10.62,0.00106188663966,0.000265471659915,2.6547,185,alive,240.68,474.89,234.209344305477
18PIST,18PISTH,1,8,D5,C,PIST,H,46.56,1702.62,17.03,0.00170261650944,0.00042565412736,4.2565,258,alive,413.85,861.61,447.757043304725
18PIST,18PISTH,1,8,D6,C,PIST,H,48.42,1841.37,18.41,0.00184136747256,0.00046034186814,4.6034,262,alive,452.80,951.13,498.331787325316
18PIST,18PISTH,1,8,E2,C,PIST,H,34.24,920.79,9.21,0.00092078536704,0.00023019634176,2.3020,213,alive,204.34,396.70,192.361535062725
18PIST,18PISTH,1,8,E3,C,PIST,H,41.95,1382.15,13.82,0.0013821488835,0.000345537220875,3.4554,189,alive,325.74,662.27,336.536377594605
18PIST,18PISTH,1,8,E4,C,PIST,H,57.5,2596.73,25.97,0.00259672875,0.0006491821875,6.4918,253,alive,671.89,1467.61,795.711807071061
18PIST,18PISTH,1,8,E5,C,PIST,H,32.22,815.35,8.15,0.00081534604536,0.00020383651134,2.0384,222,alive,177.71,340.26,162.556024617596
18PIST,18PISTH,1,8,E6,C,PIST,H,35.46,987.57,9.88,0.00098757107064,0.00024689276766,2.4689,80,alive,221.44,433.34,211.90074213251
18PIST,18PISTH,1,8,F2,C,PIST,H,48.89,1877.29,18.77,0.00187728829134,0.000469322072835,4.6932,226,alive,462.95,974.60,511.647372507367
18PIST,18PISTH,1,8,F3,C,PIST,H,33.09,859.97,8.60,0.00085997223774,0.000214993059435,2.1499,182,alive,188.92,363.93,175.009926662969
18PIST,18PISTH,1,8,F4,C,PIST,H,30.74,742.16,7.42,0.00074216184504,0.00018554046126,1.8554,169,alive,159.52,302.19,142.670009792896
18PIST,18PISTH,1,8,F5,C,PIST,H,51.27,2064.51,20.65,0.00206451257166,0.000516128142915,5.1613,270,alive,516.34,1098.81,582.465726087099
18PIST,18PISTH,1,8,F6,C,PIST,H,34.1,913.27,9.13,0.000913270974,0.0002283177435,2.2832,145,alive,202.42,392.62,190.194329032898
115BEPA,115BEPAH,1,15,B2,C,BEPA,H,33.86,900.46,9.00,0.00090046078584,0.00022511519646,2.2512,330,alive,172.71,640.81,468.097614913764
115BEPA,115BEPAH,1,15,B3,C,BEPA,H,28.83,652.80,6.53,0.00065280005406,0.000163200013515,1.6320,382,alive,124.14,440.93,316.783974088155
115BEPA,115BEPAH,1,15,B4,C,BEPA,H,28.96,658.70,6.59,0.00065870052864,0.00016467513216,1.6468,404,alive,125.29,445.56,320.267728762636
115BEPA,115BEPAH,1,15,B5,C,BEPA,H,34.26,921.86,9.22,0.00092186136504,0.00023046534126,2.3047,400,alive,176.92,658.54,481.618485220881
115BEPA,115BEPAH,1,15,B6,C,BEPA,H,40.28,1274.29,12.74,0.00127429453536,0.00031857363384,3.1857,443,alive,246.68,959.43,712.755666268178
115BEPA,115BEPAH,1,15,C2,C,BEPA,H,37.78,1121.02,11.21,0.00112102372536,0.00028025593134,2.8026,407,alive,216.27,826.66,610.385725376029
115BEPA,115BEPAH,1,15,C3,C,BEPA,H,34.65,942.97,9.43,0.0009429689115,0.000235742227875,2.3574,385,alive,181.08,676.10,495.017279722963
115BEPA,115BEPAH,1,15,C4,C,BEPA,H,21.26,354.99,3.55,0.00035499106104,8.874776526E-05,0.8875,326,alive,66.42,217.20,150.772687319078
115BEPA,115BEPAH,1,15,C5,C,BEPA,H,35.8,1006.60,10.07,0.001006600056,0.000251650014,2.5165,358,alive,193.64,729.42,535.776852233811
115BEPA,115BEPAH,1,15,C6,C,BEPA,H,32.46,827.54,8.28,0.00082753796664,0.00020688449166,2.0688,410,alive,158.37,580.89,422.526098544666
115BEPA,115BEPAH,1,15,D2,C,BEPA,H,33.57,885.10,8.85,0.00088510252446,0.000221275631115,2.2128,360,alive,169.69,628.12,458.434659624463
115BEPA,115BEPAH,1,15,D3,C,BEPA,H,39.68,1236.61,12.37,0.00123661418496,0.00030915354624,3.0915,407,alive,239.19,926.54,687.34476781277
115BEPA,115BEPAH,1,15,D4,C,BEPA,H,34.93,958.27,9.58,0.00095827038846,0.000239567597115,2.3957,382,alive,184.10,688.87,504.768944300869
115BEPA,115BEPAH,1,15,D5,C,BEPA,H,29.8,697.47,6.97,0.000697466616,0.000174366654,1.7437,375,alive,132.87,476.18,343.31475862551
115BEPA,115BEPAH,1,15,D6,C,BEPA,H,23.59,437.07,4.37,0.00043706575374,0.000109266438435,1.0927,337,alive,82.23,276.60,194.361903439773
115BEPA,115BEPAH,1,15,E2,C,BEPA,H,33.43,877.74,8.78,0.00087773547246,0.000219433868115,2.1943,361,alive,168.24,622.05,453.811672624222
115BEPA,115BEPAH,1,15,E3,C,BEPA,H,19.08,285.92,2.86,0.00028592204256,7.148051064E-05,0.7148,274,alive,53.19,168.90,115.70602611392
115BEPA,115BEPAH,1,15,E4,C,BEPA,H,23.52,434.48,4.34,0.00043447574016,0.00010861893504,1.0862,300,alive,81.73,274.69,192.95786813926
115BEPA,115BEPAH,1,15,E5,C,BEPA,H,32.53,831.11,8.31,0.00083111098686,0.000207777746715,2.0778,362,alive,159.07,583.81,424.740399430219
115BEPA,115BEPAH,1,15,E6,C,BEPA,H,37.81,1122.80,11.23,0.00112280477694,0.000280701194235,2.8070,357,alive,216.62,828.18,611.559764176356
115BEPA,115BEPAH,1,15,F2,C,BEPA,H,28.16,622.81,6.23,0.00062281089024,0.00015570272256,1.5570,288,alive,118.29,417.47,299.179638069566
115BEPA,115BEPAH,1,15,F3,C,BEPA,H,22.12,384.29,3.84,0.00038429182176,9.607295544E-05,0.9607,345,alive,72.06,238.17,166.11251583945
115BEPA,115BEPAH,1,15,F4,C,BEPA,H,31.81,794.73,7.95,0.00079472748894,0.000198681872235,1.9868,293,alive,151.92,554.21,402.285214250905
115BEPA,115BEPAH,1,15,F5,C,BEPA,H,32.44,826.52,8.27,0.00082651851744,0.00020662962936,2.0663,356,alive,158.17,580.06,421.894676887071
115BEPA,115BEPAH,1,15,F6,C,BEPA,H,24.98,490.09,4.90,0.00049008991416,0.00012252247854,1.2252,267,alive,92.49,315.97,223.479927035765
121PIGL,121PIGLH,1,21,B2,C,PIGL,H,28.95,658.25,6.58,0.0006582457035,0.000164561425875,1.6456,156,alive,253.32,481.50,228.177301629907
121PIGL,121PIGLH,1,21,B3,C,PIGL,H,25.31,503.12,5.03,0.00050312417694,0.000125781044235,1.2578,120,alive,188.33,350.02,161.691578939328
121PIGL,121PIGLH,1,21,B4,C,PIGL,H,16.4,211.24,2.11,0.000211241184,5.2810296E-05,0.5281,63,alive,72.30,124.98,52.6793674550341
121PIGL,121PIGLH,1,21,B5,C,PIGL,H,24.09,455.79,4.56,0.00045578968974,0.000113947422435,1.1395,105,alive,168.88,311.29,142.414560455909
121PIGL,121PIGLH,1,21,B6,C,PIGL,H,25.81,523.20,5.23,0.00052319900094,0.000130799750235,1.3080,145,alive,196.63,366.65,170.019283895697
121PIGL,121PIGLH,1,21,C2,C,PIGL,H,31.92,800.23,8.00,0.00080023337856,0.00020005834464,2.0006,175,alive,314.23,607.10,292.866220119831
121PIGL,121PIGLH,1,21,C3,C,PIGL,H,32.06,807.27,8.07,0.00080726836344,0.00020181709086,2.0182,208,alive,317.28,613.44,296.156014394866
121PIGL,121PIGLH,1,21,C4,C,PIGL,H,28.97,659.16,6.59,0.00065915551086,0.000164788877715,1.6479,164,alive,253.71,482.29,228.580873183796
121PIGL,121PIGLH,1,21,C5,C,PIGL,H,33.1,860.49,8.60,0.000860492094,0.0002151230235,2.1512,137,alive,340.44,661.72,321.287200870796
121PIGL,121PIGLH,1,21,C6,C,PIGL,H,21.2,352.99,3.53,0.000352990176,8.8247544E-05,0.8825,99,alive,127.38,229.85,102.464826647065
121PIGL,121PIGLH,1,21,D2,C,PIGL,H,26.84,565.79,5.66,0.00056579085024,0.00014144771256,1.4145,163,alive,214.37,402.34,187.971641602926
121PIGL,121PIGLH,1,21,D3,C,PIGL,H,24.3,463.77,4.64,0.000463770846,0.0001159427115,1.1594,115,alive,172.14,317.77,145.628427284111
121PIGL,121PIGLH,1,21,D4,C,PIGL,H,25.5,510.71,5.11,0.00051070635,0.0001276765875,1.2768,158,alive,191.46,356.29,164.826566380119
121PIGL,121PIGLH,1,21,D5,C,PIGL,H,19.42,296.20,2.96,0.00029620292856,7.405073214E-05,0.7405,118,alive,104.97,186.66,81.6846583960923
121PIGL,121PIGLH,1,21,D6,C,PIGL,H,23.76,443.39,4.43,0.00044338783104,0.00011084695776,1.1085,136,alive,163.82,301.27,137.450899062789
121PIGL,121PIGLH,1,21,E2,C,PIGL,H,27.55,596.12,5.96,0.0005961205635,0.000149030140875,1.4903,106,alive,227.08,428.06,200.980547925164
121PIGL,121PIGLH,1,21,E3,C,PIGL,H,30.18,715.37,7.15,0.00071536776696,0.00017884194174,1.7884,123,alive,277.68,531.48,253.797488527113
121PIGL,121PIGLH,1,21,E4,C,PIGL,H,24.36,466.06,4.66,0.00046606389984,0.00011651597496,1.1652,95,alive,173.08,319.64,146.5545899617
121PIGL,121PIGLH,1,21,E5,C,PIGL,H,25.27,501.54,5.02,0.00050153515566,0.000125383788915,1.2538,121,alive,187.67,348.71,161.036179297882
121PIGL,121PIGLH,1,21,E6,C,PIGL,H,23.26,424.92,4.25,0.00042492307704,0.00010623076926,1.0623,145,alive,156.31,286.44,130.130631991499
121PIGL,121PIGLH,1,21,F2,C,PIGL,H,24.17,458.82,4.59,0.00045882196206,0.000114705490515,1.1471,151,alive,170.12,313.75,143.633816151263
121PIGL,121PIGLH,1,21,F3,C,PIGL,H,22.96,414.03,4.14,0.00041403272064,0.00010350818016,1.0351,119,alive,151.89,277.75,125.853446352932
121PIGL,121PIGLH,1,21,F4,C,PIGL,H,22.06,382.21,3.82,0.00038220988344,9.555247086E-05,0.9555,115,alive,139.07,252.60,113.532845822735
121PIGL,121PIGLH,1,21,F5,C,PIGL,H,26.28,542.43,5.42,0.00054242739936,0.00013560684984,1.3561,127,alive,204.62,382.70,178.077144764603
121PIGL,121PIGLH,1,21,F6,C,PIGL,H,21.35,358.00,3.58,0.0003580029915,8.9500747875E-05,0.8950,105,alive,129.38,233.73,104.346307710851
124LALA,124LALAH,1,24,B2,C,LALA,H,36.87,1067.67,10.68,0.00106767032526,0.000266917581315,2.6692,489,alive,183.68,605.64,421.958118295797
124LALA,124LALAH,1,24,B3,C,LALA,H,34.7,945.69,9.46,0.000945692286,0.0002364230715,2.3642,459,alive,160.95,513.48,352.522656510945
124LALA,124LALAH,1,24,B4,C,LALA,H,43.02,1453.56,14.54,0.00145355580216,0.00036338895054,3.6339,496,alive,257.02,921.61,664.595335615267
124LALA,124LALAH,1,24,B5,C,LALA,H,30.31,721.54,7.22,0.00072154391694,0.000180385979235,1.8039,422,alive,119.89,355.34,235.455277986134
124LALA,124LALAH,1,24,B6,C,LALA,H,30.65,737.82,7.38,0.0007378224315,0.000184455607875,1.8446,383,alive,122.84,366.30,243.460439968263
124LALA,124LALAH,1,24,C2,C,LALA,H,36.64,1054.39,10.54,0.00105439133184,0.00026359783296,2.6360,478,alive,181.20,595.41,414.21724587102
124LALA,124LALAH,1,24,C3,C,LALA,H,42.33,1407.30,14.07,0.00140730241806,0.000351825604515,3.5183,504,alive,248.12,881.94,633.811988470836
124LALA,124LALAH,1,24,C4,C,LALA,H,48.01,1810.32,18.10,0.00181031566254,0.000452578915635,4.5258,452,alive,326.40,1242.39,915.992338243374
124LALA,124LALAH,1,24,C5,C,LALA,H,42.86,1442.76,14.43,0.00144276377784,0.00036069094446,3.6069,473,alive,254.94,912.31,657.373799545815
124LALA,124LALAH,1,24,C6,C,LALA,H,47.01,1735.69,17.36,0.00173568695454,0.000433921738635,4.3392,518,alive,311.78,1173.22,861.44553589663
124LALA,124LALAH,1,24,D2,C,LALA,H,37.72,1117.47,11.17,0.00111746586336,0.00027936646584,2.7937,460,alive,193.03,644.40,451.36842810481
124LALA,124LALAH,1,24,D3,C,LALA,H,44.25,1537.86,15.38,0.0015378622875,0.000384465571875,3.8447,533,alive,273.29,995.10,721.812326480719
124LALA,124LALAH,1,24,D4,C,LALA,H,34.5,934.82,9.35,0.00093482235,0.0002337055875,2.3371,467,alive,158.94,505.46,346.521508825512
124LALA,124LALAH,1,24,D5,C,LALA,H,23.16,421.28,4.21,0.00042127725024,0.00010531931256,1.0532,387,alive,66.73,170.86,104.131662162243
124LALA,124LALAH,1,24,D6,C,LALA,H,33.31,871.45,8.71,0.00087144536094,0.000217861340235,2.1786,495,alive,147.24,459.41,312.166071730645
124LALA,124LALAH,1,24,E2,C,LALA,H,45.78,1646.05,16.46,0.00164604791736,0.00041151197934,4.1151,446,alive,294.28,1091.55,797.264015630332
124LALA,124LALAH,1,24,E3,C,LALA,H,42.99,1451.53,14.52,0.00145152923454,0.000362882308635,3.6288,467,alive,256.63,919.86,663.23744725584
124LALA,124LALAH,1,24,E4,C,LALA,H,41.62,1360.49,13.60,0.00136048904376,0.00034012226094,3.4012,477,alive,239.15,842.26,603.105829932769
124LALA,124LALAH,1,24,E5,C,LALA,H,40.72,1302.29,13.02,0.00130228619136,0.00032557154784,3.2557,470,alive,228.03,793.61,565.574699811871
124LALA,124LALAH,1,24,E6,C,LALA,H,49.15,1897.31,18.97,0.0018973084515,0.000474327112875,4.7433,470,alive,343.51,1324.33,980.815150053399
124LALA,124LALAH,1,24,F2,C,LALA,H,51.2,2058.88,20.59,0.002058878976,0.000514719744,5.1472,490,alive,375.48,1480.10,1104.62415511961
124LALA,124LALAH,1,24,F3,C,LALA,H,38.05,1137.10,11.37,0.0011371040835,0.000284276020875,2.8428,417,alive,196.73,659.86,463.130630079176
124LALA,124LALAH,1,24,F4,C,LALA,H,46.27,1681.47,16.81,0.00168147299166,0.000420368247915,4.2037,522,alive,301.19,1123.64,822.451310832766
124LALA,124LALAH,1,24,F5,C,LALA,H,21.73,370.86,3.71,0.00037086030366,9.2715075915E-05,0.9272,295,alive,58.08,143.66,85.5707761613029
124LALA,124LALAH,1,24,F6,C,LALA,H,44.22,1535.78,15.36,0.00153577775736,0.00038394443934,3.8394,466,alive,272.88,993.27,720.380657948902
22QURU,22QURUL,2,2,B2,C,QURU,L,37.27,1090.96,10.91,0.00109096214766,0.000272740536915,2.7274,303,alive,243.24,986.60,743.36011379995
22QURU,22QURUL,2,2,B3,C,QURU,L,32.73,841.36,8.41,0.00084136202766,0.000210340506915,2.1034,302,alive,189.69,718.60,528.914942660726
22QURU,22QURUL,2,2,B4,C,QURU,L,23.57,436.32,4.36,0.00043632496446,0.000109081241115,1.0908,148,alive,101.17,322.52,221.35405854864
22QURU,22QURUL,2,2,B5,C,QURU,L,24.8,483.05,4.83,0.000483052416,0.000120763104,1.2076,279,alive,111.52,365.15,253.629568509726
22QURU,22QURUL,2,2,B6,C,QURU,L,31.09,759.16,7.59,0.00075915829374,0.000189789573435,1.8979,258,alive,171.91,633.89,461.980042445365
22QURU,22QURUL,2,2,C2,C,QURU,L,19.76,306.67,3.07,0.00030666539904,7.666634976E-05,0.7667,230,alive,72.19,209.76,137.571270662191
22QURU,22QURUL,2,2,C3,C,QURU,L,25.5,510.71,5.11,0.00051070635,0.0001276765875,1.2768,272,alive,117.62,390.81,273.187958623383
22QURU,22QURUL,2,2,C4,C,QURU,L,33.79,896.74,8.97,0.00089674152414,0.000224185381035,2.2419,290,alive,201.62,776.72,575.098127100833
22QURU,22QURUL,2,2,C5,C,QURU,L,21.31,356.66,3.57,0.00035666278494,8.9165696235E-05,0.8917,243,alive,83.41,252.20,168.784693461998
22QURU,22QURUL,2,2,C6,C,QURU,L,21.97,379.10,3.79,0.00037909757886,9.4774394715E-05,0.9477,204,alive,88.43,271.69,183.25516053239
22QURU,22QURUL,2,2,D2,C,QURU,L,21.99,379.79,3.80,0.00037978810254,9.4947025635E-05,0.9495,90,alive,88.59,272.29,183.70486862397
22QURU,22QURUL,2,2,D3,C,QURU,L,28.03,617.07,6.17,0.00061707377886,0.000154268444715,1.5427,256,alive,140.98,492.28,351.304984764905
22QURU,22QURUL,2,2,D4,C,QURU,L,16.121,204.11,2.04,0.000204114967841,5.102874196035E-05,0.5103,146,alive,48.89,127.65,78.760968693537
22QURU,22QURUL,2,2,D5,C,QURU,L,25.32,503.52,5.04,0.00050352182496,0.00012588045624,1.2588,230,alive,116.04,384.11,268.075157163817
22QURU,22QURUL,2,2,D6,C,QURU,L,26.9,568.32,5.68,0.000568323294,0.0001420808235,1.4208,267,alive,130.30,445.25,314.95649057728
22QURU,22QURUL,2,2,E2,C,QURU,L,18.48,268.22,2.68,0.00026822226816,6.705556704E-05,0.6706,180,alive,63.50,178.13,114.634550181904
22QURU,22QURUL,2,2,E3,C,QURU,L,26.44,549.05,5.49,0.00054905240544,0.00013726310136,1.3726,264,alive,126.06,426.90,300.838144982823
22QURU,22QURUL,2,2,E4,C,QURU,L,15.25,182.65,1.83,0.0001826545875,4.5663646875E-05,0.4566,111,alive,43.96,111.47,67.513425616058
22QURU,22QURUL,2,2,E5,C,QURU,L,31.34,771.42,7.71,0.00077141642424,0.00019285410606,1.9285,297,alive,174.56,646.40,471.833597683973
22QURU,22QURUL,2,2,E6,C,QURU,L,24.95,488.91,4.89,0.0004889134635,0.000122228365875,1.2223,269,alive,112.81,370.56,257.747245739306
